,id,feature_id,object_id
1109,76636,95,3698
1110,5155,3,385
1111,5156,19,385
1112,5157,49,385
1113,5158,41,385
1114,5171,3,389
1115,5172,19,389
1116,5173,49,389
1117,5174,41,389
1118,6899,3,425
1119,6900,19,425
1120,6901,49,425
1121,6902,41,425
1122,6935,3,417
1123,6936,19,417
1124,6937,49,417
1125,6938,41,417
1126,21087,49,1574
1127,21088,3,1574
1128,21089,18,1574
1129,21090,41,1574
1130,8482,3,603
1131,8483,49,603
1132,5207,3,396
1133,5208,19,396
1134,5209,49,396
1135,5210,41,396
1136,5219,3,399
1137,5220,19,399
1138,5221,49,399
1139,5222,41,399
1140,8484,16,603
1141,8485,37,603
1142,12903,49,1059
1143,12904,16,1059
1144,12905,3,1059
1145,12906,42,1059
1146,9354,49,618
1147,9355,16,618
1148,9356,41,618
1149,7639,3,624
1150,7640,49,624
1151,7641,16,624
1152,7642,37,624
1153,50827,19,3822
1154,21091,66,1574
1155,21182,49,1582
1156,21183,16,1582
1157,151423,3,7683
1158,87881,16,5806
1159,87882,3,5806
1160,40555,3,2140
1161,33389,49,1509
1162,33390,3,1509
1163,151424,16,7683
1164,151425,49,7683
1165,50828,3,3822
1166,50829,49,3822
1167,71879,49,1706
1168,12907,61,1059
1169,17598,49,1207
1170,17599,3,1207
1171,17600,18,1207
1172,9402,3,636
1173,9403,49,636
1174,9404,16,636
1175,9405,37,636
1176,9424,3,645
1177,9425,49,645
1178,9426,41,645
1179,9427,18,645
1180,127066,49,3650
1181,119561,18,5866
1182,9464,3,654
1183,19590,49,1461
1184,19591,3,1461
1185,19592,16,1461
1186,9465,49,654
1187,9466,41,654
1188,9467,18,654
1189,71880,3,1706
1190,3953,3,375
1191,3954,19,375
1192,71881,16,1706
1193,5363,3,445
1194,5364,49,445
1195,5365,16,445
1196,5366,37,445
1197,19593,37,1461
1198,119562,3,5866
1199,119563,27,5866
1200,119564,61,5866
1201,71882,41,1706
1202,33391,16,1509
1203,33392,61,1509
1204,19793,49,1485
1205,8651,3,712
1206,8652,49,712
1207,8653,16,712
1208,7711,3,630
1209,7712,49,630
1210,7713,16,630
1211,7714,41,630
1212,19794,3,1485
1213,19795,16,1485
1214,19796,42,1485
1215,19797,61,1485
1216,33393,42,1509
1217,152421,20,10879
1218,152422,27,10879
1219,152423,28,10879
1220,152424,6,10879
1221,152425,49,10879
1222,8654,41,712
1223,30882,16,2291
1224,30883,49,2291
1225,30884,3,2291
1226,30885,42,2291
1227,30886,61,2291
1228,30956,16,2299
1229,7203,3,578
1230,7204,49,578
1231,7205,16,578
1232,7206,41,578
1233,8780,3,721
1234,8781,49,721
1235,8782,16,721
1236,8783,37,721
1237,7355,3,595
1238,7356,49,595
1239,7357,16,595
1240,7358,37,595
1241,8812,3,704
1242,8813,49,704
1243,5501,42,458
1244,5502,61,458
1245,8814,16,704
1246,7519,3,614
1247,7520,49,614
1248,5508,3,459
1249,5509,49,459
1250,5510,16,459
1251,5511,42,459
1252,5512,61,459
1253,7521,16,614
1254,7522,37,614
1255,7539,3,616
1256,7540,49,616
1257,7541,16,616
1258,7542,41,616
1259,5526,3,461
1260,5527,49,461
1261,5528,16,461
1262,5529,42,461
1263,5530,61,461
1264,5536,3,462
1265,5537,49,462
1266,5538,16,462
1267,5539,42,462
1268,5540,61,462
1269,40556,16,2140
1270,40557,49,2140
1271,40558,41,2140
1272,40559,46,2140
1273,6903,3,426
1274,6904,19,426
1275,6905,49,426
1276,6906,41,426
1277,21184,37,1582
1278,21185,38,1582
1279,39879,49,1946
1280,33394,49,1510
1281,33395,3,1510
1282,33396,16,1510
1283,33397,61,1510
1284,33398,42,1510
1285,6939,3,416
1286,6940,19,416
1287,6941,49,416
1288,39880,3,1946
1289,39881,16,1946
1290,39882,41,1946
1291,39883,46,1946
1292,8486,3,609
1293,8487,49,609
1294,8488,16,609
1295,8489,37,609
1296,6942,41,416
1297,19594,49,1462
1298,19595,3,1462
1299,19596,16,1462
1300,19597,37,1462
1301,19598,59,1462
1302,7039,3,561
1303,7040,49,561
1304,7041,16,561
1305,7042,41,561
1306,7067,3,564
1307,7068,49,564
1308,7069,16,564
1309,7070,37,564
1310,17601,70,1207
1311,9357,3,620
1312,9358,49,620
1313,9359,16,620
1314,7123,3,568
1315,7124,49,568
1316,7125,16,568
1317,7126,40,568
1318,7151,3,573
1319,7152,49,573
1320,7153,16,573
1321,7154,41,573
1322,17602,37,1207
1323,17684,3,1386
1324,17685,38,1386
1325,17751,49,1394
1326,9360,37,620
1327,46316,3,3015
1328,46317,16,3015
1329,46318,37,3015
1330,7235,3,582
1331,7236,49,582
1332,7237,16,582
1333,7238,41,582
1334,7263,3,585
1335,7264,49,585
1336,7265,16,585
1337,7266,41,585
1338,46319,49,3015
1339,9406,3,640
1340,9407,49,640
1341,9408,16,640
1342,17752,16,1394
1343,17753,3,1394
1344,17754,37,1394
1345,21463,49,189
1346,21464,3,189
1347,21465,37,189
1348,21466,20,189
1349,21479,49,1590
1350,21480,37,1590
1351,21481,20,1590
1352,21491,49,1596
1353,21492,41,1596
1354,21493,20,1596
1355,21500,49,1609
1356,21501,37,1609
1357,21502,20,1609
1358,7403,3,600
1359,7404,49,600
1360,7405,16,600
1361,7406,41,600
1362,7463,3,607
1363,7464,49,607
1364,7465,16,607
1365,7466,41,607
1366,7503,3,612
1367,7504,49,612
1368,7505,16,612
1369,7506,37,612
1370,20501,49,1538
1371,20502,3,1538
1372,20503,18,1538
1373,20504,41,1538
1374,20528,3,1541
1375,20529,18,1541
1376,20530,41,1541
1377,20552,49,1543
1378,20553,3,1543
1379,20554,18,1543
1380,20555,42,1543
1381,20556,61,1543
1382,4554,49,211
1383,4555,11,211
1384,4556,42,211
1385,4557,16,211
1386,4558,61,211
1387,4559,49,212
1388,4560,11,212
1389,4561,16,212
1390,4562,42,212
1391,4563,61,212
1392,4564,49,213
1393,4565,11,213
1394,4566,16,213
1395,4567,42,213
1396,4576,49,215
1397,4577,11,215
1398,4578,16,215
1399,4579,42,215
1400,4580,49,216
1401,4581,11,216
1402,4582,16,216
1403,4583,42,216
1404,4584,49,219
1405,4585,11,219
1406,4586,16,219
1407,4587,42,219
1408,4588,49,220
1409,4589,11,220
1410,4590,16,220
1411,4591,42,220
1412,4592,49,221
1413,4593,11,221
1414,4594,16,221
1415,4595,42,221
1416,4600,49,223
1417,4601,11,223
1418,4602,16,223
1419,4603,42,223
1420,4604,49,224
1421,4605,11,224
1422,4606,16,224
1423,4607,42,224
1424,4608,49,225
1425,4609,11,225
1426,4610,16,225
1427,4611,42,225
1428,4612,49,226
1429,4613,11,226
1430,4614,16,226
1431,4615,42,226
1432,4616,49,227
1433,4617,11,227
1434,4618,16,227
1435,4619,42,227
1436,4620,49,228
1437,4621,11,228
1438,4622,16,228
1439,4623,42,228
1440,4624,49,229
1441,4625,11,229
1442,4626,16,229
1443,4627,42,229
1444,10385,3,851
1445,10386,49,851
1446,4632,49,231
1447,4633,11,231
1448,4634,16,231
1449,4635,42,231
1450,4636,49,232
1451,4637,11,232
1452,4638,16,232
1453,4639,42,232
1454,4640,49,233
1455,4641,11,233
1456,4642,16,233
1457,4643,42,233
1458,4644,49,235
1459,4645,11,235
1460,4646,16,235
1461,4647,42,235
1462,10387,16,851
1463,10388,37,851
1464,9361,3,621
1465,9362,49,621
1466,4652,49,237
